,Data,Mes,Categoria,Sub_Categoria,Tipo_Categoria,Tipo_Custo,ID_Produto,Qtde_Vendida,PV_venda,Faturamento,Valor_Total,Estoque,Total_Estoque,CMV,Total_CMV,CSLL,Total_CSLL,PIS,Total_PIS,COFINS,Total_COFINS,ICMS,Total_ICMS,ISS,Total_ISS,Total_IRPJ,Total_IRPJ_Ad,Água,Energia,Internet,Aluguel,Telefone,Salários,Encargos,Vendas,Lucro_Bruto,Lucro_Operacional,Lucro_Líquido
0,2021-01-10,Jan,DRE,Desp Adm,Água,Custo Fixo,0.0,0.0,0.0,0.0,571.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2021-01-10,Jan,DRE,Desp Adm,Energia,Custo Fixo,0.0,0.0,0.0,0.0,897.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2021-01-10,Jan,DRE,Desp Adm,Internet,Custo Fixo,0.0,0.0,0.0,0.0,261.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2021-01-10,Jan,DRE,Desp Adm,Aluguel,Custo Fixo,0.0,0.0,0.0,0.0,2342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2021-01-10,Jan,DRE,Desp Adm,Telefone,Custo Fixo,0.0,0.0,0.0,0.0,387.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.6,0.0,0.0,0.0,0.0,0.0,0.0
0,2021-01-10,Jan,DRE,Desp Adm,Salários,Custo Fixo,0.0,0.0,0.0,0.0,3704.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.86,0.0,0.0,0.0,0.0,0.0
0,2021-01-10,Jan,DRE,Desp Adm,Encargos,Custo Fixo,0.0,0.0,0.0,0.0,2926.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2926.84,0.0,0.0,0.0,0.0
3928,2021-01-11,Jan,DRE,Imp Vendas,PIS,Custo Variável,253.0,1.0,0.0,0.0,13.27,0.0,0.0,0.0,0.0,0.0,0.0,13.27,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3928,2021-01-11,Jan,DRE,CMV,CMV,Custo Variável,253.0,1.0,0.0,0.0,120.61,0.0,0.0,120.61,120.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3928,2021-01-11,Jan,DRE,Impostos,CSLL,Custo Variável,253.0,1.0,0.0,0.0,72.37,0.0,0.0,0.0,0.0,72.37,72.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3928,2021-01-11,Jan,DRE,Receita,Faturamento,Vendas,253.0,1.0,804.06,804.06,804.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3928,2021-01-11,Jan,DRE,Imp Vendas,ISS,Custo Variável,253.0,1.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3928,2021-01-11,Jan,DRE,Imp Vendas,ICMS,Custo Variável,253.0,1.0,0.0,0.0,144.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.73,144.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3928,2021-01-11,Jan,DRE,Imp Vendas,COFINS,Custo Variável,253.0,1.0,0.0,0.0,61.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11,61.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3928,2021-01-11,Jan,DRE,Estoque,Estoque,Custo Variável,253.0,0.0,0.0,0.0,482.43,4.0,482.43,120.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,2021-01-17,Jan,DRE,Impostos,CSLL,Custo Variável,138.0,3.0,0.0,0.0,104.52,0.0,0.0,0.0,0.0,34.84,104.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,2021-01-17,Jan,DRE,Imp Vendas,PIS,Custo Variável,138.0,3.0,0.0,0.0,19.16,0.0,0.0,0.0,0.0,0.0,0.0,6.39,19.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,2021-01-17,Jan,DRE,Estoque,Estoque,Custo Variável,138.0,0.0,0.0,0.0,290.32,3.0,290.32,96.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,2021-01-17,Jan,DRE,Receita,Faturamento,Vendas,138.0,3.0,387.1,1161.29,1161.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,2021-01-17,Jan,DRE,Imp Vendas,COFINS,Custo Variável,138.0,3.0,0.0,0.0,88.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.42,88.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
